ct;descripcio;tram;tensio;num_linia;cable;seccio;intensitat_admisible;reactancia;resistencia;material;tipus;longitud_cad;geom;node_start;node_end
CT-0975;E.T. CAN DRAPER-2;170275;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.448000;LINESTRING (438798.3618 4612678.5723, 438798.3618 4612678.7578, 438798.6243 4612678.7578);58026;58020
CT-0975;E.T. CAN DRAPER-2;170260;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.433400;LINESTRING (438798.6243 4612678.6578, 438798.3752 4612678.6578, 438798.3752 4612678.4735);58023;58034
CT-0975;E.T. CAN DRAPER-2;170271;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.061900;LINESTRING (438798.32660000003 4612678.3747000005, 438798.3885 4612678.3747000005);58036;58037
CT-0975;E.T. CAN DRAPER-2;170267;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.157000;LINESTRING (438798.2684 4612678.4735, 438798.2684 4612678.3747000005, 438798.32660000003 4612678.3747000005);58032;58036
CT-0975;E.T. CAN DRAPER-2;170279;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.462500;LINESTRING (438798.6243 4612678.8578, 438798.3485 4612678.8578, 438798.3485 4612678.6711);58019;58022
CT-0975;E.T. CAN DRAPER-2;170261;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.464800;LINESTRING (438798.3752 4612678.4735, 438798.3752 4612678.2578, 438798.6243 4612678.2578);58034;58043
CT-0975;E.T. CAN DRAPER-2;170278;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.489100;LINESTRING (438798.3485 4612678.6711, 438798.3485 4612678.4578, 438798.6243 4612678.4578);58022;58035
CT-0975;E.T. CAN DRAPER-2;170265;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.058200;LINESTRING (438798.32660000003 4612678.5723, 438798.2684 4612678.5723);58025;58024
CT-0975;E.T. CAN DRAPER-2;170268;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.049400;LINESTRING (438798.2684 4612678.5229, 438798.2684 4612678.4735);58031;58032
CT-0975;E.T. CAN DRAPER-2;170274;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.418900;LINESTRING (438798.6243 4612678.5578000005, 438798.3885 4612678.5578000005, 438798.3885 4612678.3747000005);58027;58037
CT-0975;E.T. CAN DRAPER-2;170259;0;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.075000;LINESTRING (438798.0764 4612678.5229, 438798.15140000003 4612678.5229);58028;58029
CT-0975;E.T. CAN DRAPER-2;170264;0;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.050000;LINESTRING (438798.15140000003 4612678.5229, 438798.2014 4612678.5229);58029;58030
CT-0975;E.T. CAN DRAPER-2;170263;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.067000;LINESTRING (438798.2014 4612678.5229, 438798.2684 4612678.5229);58030;58031
CT-0975;E.T. CAN DRAPER-2;170262;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.049400;LINESTRING (438798.2684 4612678.5723, 438798.2684 4612678.5229);58024;58031
CT-0975;E.T. CAN DRAPER-2;170269;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.157000;LINESTRING (438798.32660000003 4612678.6711, 438798.2684 4612678.6711, 438798.2684 4612678.5723);58021;58024
CT-0975;E.T. CAN DRAPER-2;170277;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.021900;LINESTRING (438798.3485 4612678.6711, 438798.32660000003 4612678.6711);58022;58021
CT-0975;E.T. CAN DRAPER-2;170276;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.035200;LINESTRING (438798.32660000003 4612678.5723, 438798.3618 4612678.5723);58025;58026
CT-0975;E.T. CAN DRAPER-2;170272;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.476400;LINESTRING (438798.3618 4612678.5723, 438798.3618 4612678.3578, 438798.6237 4612678.3578);58026;58039
CT-0975;E.T. CAN DRAPER-2;170266;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.058200;LINESTRING (438798.32660000003 4612678.4735, 438798.2684 4612678.4735);58033;58032
CT-0975;E.T. CAN DRAPER-2;170270;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.048600;LINESTRING (438798.32660000003 4612678.4735, 438798.3752 4612678.4735);58033;58034
CT-0975;E.T. CAN DRAPER-2;170273;400;;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.452400;LINESTRING (438798.3885 4612678.3747000005, 438798.3885 4612678.1578, 438798.624 4612678.1578);58037;58046
CT-0975;E.T. CAN DRAPER-2;170202;400;9;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.549942;LINESTRING (438839.29870000004 4612727.018300001, 438839.422 4612726.6908, 438839.6092 4612726.7612000005);57740;57744
CT-0975;E.T. CAN DRAPER-2;170189;400;9;RV 3x240+150;240.0;344.0;0.18000000;0.16000000;Al;Subterrani;43.033253;LINESTRING (438826.11360000004 4612763.110900001, 438826.2119 4612763.1464, 438826.3032 4612763.0396, 438827.7132 4612763.5663, 438827.721 4612763.568700001, 438827.72880000004 4612763.5708, 438827.7368 4612763.5727, 438827.74480000004 4612763.5743, 438827.7529 4612763.5756, 438827.761 4612763.5766, 438827.76910000003 4612763.5774, 438827.7773 4612763.5778, 438827.7854 4612763.578000001, 438827.79360000003 4612763.5779, 438827.8017 4612763.577500001, 438827.8099 4612763.5768, 438827.818 4612763.5758, 438827.8261 4612763.5746, 438827.83410000004 4612763.573100001, 438827.8421 4612763.5713, 438827.85000000003 4612763.5692, 438827.8578 4612763.5669, 438827.8655 4612763.5642, 438827.8731 4612763.5614, 438827.88070000004 4612763.5582, 438827.88810000004 4612763.5548, 438827.89540000004 4612763.5511, 438827.90260000003 4612763.5472, 438827.9096 4612763.5430000005, 438827.9165 4612763.538600001, 438827.9232 4612763.534, 438827.92970000004 4612763.5291, 438827.93610000005 4612763.524, 438827.9423 4612763.5187, 438827.94830000005 4612763.5132, 438827.95410000003 4612763.5074000005, 438827.9597 4612763.5015, 438827.96510000003 4612763.4953000005, 438827.97030000004 4612763.489, 438827.97530000005 4612763.4825, 438827.98000000004 4612763.4759, 438827.9845 4612763.4691, 438827.98880000005 4612763.4621, 438827.9928 4612763.455, 438827.9965 4612763.4477, 438828 4612763.4403, 438828.00330000004 4612763.4329, 438828.0063 4612763.4253, 438828.009 4612763.4176, 438828.0114 4612763.4098000005, 438828.0531 4612763.2914, 438841.35120000003 4612727.4702, 438841.4282 4612727.2646, 438841.4302 4612727.259500001, 438841.43200000003 4612727.2545, 438841.43360000005 4612727.2493, 438841.435 4612727.2441, 438841.4363 4612727.2389, 438841.4374 4612727.2336, 438841.43830000004 4612727.228300001, 438841.439 4612727.223, 438841.43960000004 4612727.2176, 438841.4399 4612727.2123, 438841.4401 4612727.206900001, 438841.4401 4612727.2015, 438841.4399 4612727.1961, 438841.43950000004 4612727.1908, 438841.4389 4612727.1854, 438841.4381 4612727.1801, 438841.43720000004 4612727.1748, 438841.43610000005 4612727.1695, 438841.43480000005 4612727.1643, 438841.43330000003 4612727.1591, 438841.4316 4612727.154, 438841.42980000004 4612727.149, 438841.4278 4612727.144, 438841.4256 4612727.139, 438841.4233 4612727.1342, 438841.4208 4612727.1294, 438841.4181 4612727.1248, 438841.4153 4612727.1202, 438841.4123 4612727.1157, 438841.40910000005 4612727.1113, 438841.4059 4612727.107100001, 438841.4024 4612727.1029, 438841.3988 4612727.098900001, 438841.3951 4612727.095000001, 438841.3913 4612727.091200001, 438841.3873 4612727.0876, 438841.38320000004 4612727.084100001, 438841.379 4612727.0807, 438841.37470000004 4612727.077500001, 438841.3703 4612727.0745, 438841.3657 4612727.0716, 438841.36110000004 4612727.0688000005, 438841.35640000005 4612727.0662, 438841.3516 4612727.063800001, 438841.3467 4612727.061600001, 438841.34170000005 4612727.0595, 438841.33670000004 4612727.0576, 438841.33160000003 4612727.0558, 438841.3264 4612727.0543, 438841.3212 4612727.0529000005, 438841.31600000005 4612727.051700001, 438841.31070000003 4612727.0507000005, 438841.3054 4612727.0498, 438841.3001 4612727.0492, 438841.2947 4612727.0487, 438841.2893 4612727.048400001, 438841.28390000004 4612727.0483, 438841.2786 4612727.048400001, 438841.2732 4612727.0487, 438841.26780000003 4612727.0491, 438841.2625 4612727.0498, 438839.5711 4612727.2816, 438839.4722 4612727.4559, 438839.3626 4612727.4164);57595;57736
CT-0975;E.T. CAN DRAPER-2;170204;400;9;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.200006;LINESTRING (438825.9258 4612763.0421, 438826.11360000004 4612763.110900001);57596;57595
CT-0975;E.T. CAN DRAPER-2;180195;400;9;RV 3x240+150;240.0;344.0;0.18000000;0.16000000;Al;Subterrani;13.510719;LINESTRING (438825.9931 4612763.4396, 438826.06840000005 4612763.4622, 438826.1238 4612763.3216, 438827.5996 4612763.860400001, 438827.6472 4612763.921800001, 438827.663 4612764.0505, 438827.6095 4612764.207, 438824.43610000005 4612772.7349000005, 438824.3093 4612773.119200001, 438824.1033 4612773.1469, 438822.7721 4612772.729, 438822.677 4612772.83, 438822.59150000004 4612772.7976);57594;117180
CT-0975;E.T. CAN DRAPER-2;180193;400;9;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.549909;LINESTRING (438822.4037 4612772.728800001, 438822.2833 4612773.0574, 438822.471 4612773.126300001);117179;117181
CT-0975;E.T. CAN DRAPER-2;180194;400;9;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.550003;LINESTRING (438822.4037 4612772.728800001, 438822.52420000004 4612772.4002, 438822.712 4612772.4690000005);117179;117182
CT-0975;E.T. CAN DRAPER-2;170205;400;9;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.550003;LINESTRING (438825.9258 4612763.0421, 438826.04630000005 4612762.713500001, 438826.2341 4612762.7823);57596;57597
CT-0975;E.T. CAN DRAPER-2;172793;400;9;LGA;17.0;20.0;0.00000000;;Cu;Indefinit;7.772071;LINESTRING (438826.2341 4612762.7823, 438826.29750000004 4612762.8059, 438826.3338 4612762.7088, 438825.489 4612760.299000001, 438820.7175 4612758.6538);57597;57626
CT-0975;E.T. CAN DRAPER-2;170197;400;9;RV 3x240+150;240.0;344.0;0.18000000;0.16000000;Al;Subterrani;76.335439;LINESTRING (438839.4859 4612727.0888, 438839.5882 4612727.1265, 438839.6829 4612726.9888, 438841.36870000005 4612726.7905, 438841.3829 4612726.788600001, 438841.3969 4612726.7862, 438841.4109 4612726.7833, 438841.42480000004 4612726.78, 438841.43850000005 4612726.7761, 438841.4521 4612726.7718, 438841.4656 4612726.767, 438841.47880000004 4612726.7618, 438841.4919 4612726.7561, 438841.5048 4612726.75, 438841.5175 4612726.7434, 438841.5299 4612726.7364, 438841.5421 4612726.7289, 438841.554 4612726.721100001, 438841.56560000003 4612726.7128, 438841.57700000005 4612726.704100001, 438841.58800000005 4612726.6951, 438841.59870000003 4612726.6857, 438841.6091 4612726.6759, 438841.6192 4612726.6657, 438841.6288 4612726.655300001, 438841.63820000004 4612726.6445, 438841.6471 4612726.6333, 438841.6557 4612726.621900001, 438841.66380000004 4612726.6102, 438841.6716 4612726.5982, 438841.6789 4612726.586, 438841.68580000004 4612726.5735, 438841.69220000005 4612726.5608, 438841.69830000005 4612726.5478, 438845.30460000003 4612716.899300001, 438845.30970000004 4612716.881800001, 438845.3141 4612716.864200001, 438845.3179 4612716.8464, 438845.3212 4612716.8284, 438845.3237 4612716.8104, 438845.32570000004 4612716.7922, 438845.32700000005 4612716.7741, 438845.3277 4612716.7558, 438845.3277 4612716.737600001, 438845.3271 4612716.7194, 438845.3259 4612716.7012, 438845.324 4612716.6831, 438845.3215 4612716.665, 438845.31840000005 4612716.647100001, 438845.31470000005 4612716.6292, 438845.3103 4612716.611500001, 438845.3053 4612716.5940000005, 438845.29970000003 4612716.5767, 438845.29360000003 4612716.5595, 438845.2868 4612716.5426, 438845.2076 4612716.352200001, 438842.7113 4612710.1067, 438842.63560000004 4612709.9098000005, 438842.6266 4612709.8896, 438842.617 4612709.869700001, 438842.6066 4612709.8502, 438842.5956 4612709.831, 438842.58400000003 4612709.8122000005, 438842.57170000003 4612709.7939, 438842.5589 4612709.7759, 438842.5454 4612709.758400001, 438842.53130000003 4612709.7413, 438842.51670000004 4612709.7248, 438842.5015 4612709.7087, 438842.4858 4612709.693200001, 438842.4696 4612709.6782, 438842.45290000003 4612709.6637, 438842.43570000003 4612709.649900001, 438842.418 4612709.6366, 438842.3999 4612709.6239, 438842.3814 4612709.6119, 438837.9499 4612707.186000001, 438833.60020000004 4612704.6166, 438829.33670000004 4612701.9063, 438825.1642 4612699.058, 438821.087 4612696.0749, 438820.291 4612695.468, 438816.8566 4612692.7477, 438813.5076 4612689.923, 438810.24700000003 4612686.9966, 438807.07800000004 4612683.9713, 438804.0036 4612680.8499, 438801.02660000004 4612677.6354, 438800.8764 4612677.4672, 438799.6119 4612678.567100001, 438799.07300000003 4612678.567100001, 438799.07300000003 4612678.8578, 438798.6243 4612678.8578);57739;58019
CT-0975;E.T. CAN DRAPER-2;180192;400;9;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.200006;LINESTRING (438822.4037 4612772.728800001, 438822.59150000004 4612772.7976);117179;117180
CT-0975;E.T. CAN DRAPER-2;180325;400;9;LGA;17.0;20.0;0.00000000;;Cu;Indefinit;2.469110;LINESTRING (438822.4037 4612772.728800001, 438821.94450000004 4612773.144900001, 438822.5625 4612773.3509, 438822.1863 4612774.4883);117179;117743
CT-0975;E.T. CAN DRAPER-2;170201;400;9;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.200035;LINESTRING (438839.29870000004 4612727.018300001, 438839.4859 4612727.0888);57740;57739
CT-0975;E.T. CAN DRAPER-2;173167;400;9;LGA;17.0;20.0;0.00000000;;Cu;Indefinit;9.941282;LINESTRING (438831.1378 4612722.2723, 438833.16630000004 4612723.601600001, 438839.0331 4612725.7937, 438839.29870000004 4612727.018300001);57765;57740
CT-0975;E.T. CAN DRAPER-2;170203;400;9;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.549942;LINESTRING (438839.29870000004 4612727.018300001, 438839.1755 4612727.3459, 438839.3626 4612727.4164);57740;57736
CT-0975;E.T. CAN DRAPER-2;170206;400;9;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.549909;LINESTRING (438825.9258 4612763.0421, 438825.8054 4612763.3707, 438825.9931 4612763.4396);57596;57594
